
# Surface 0 of 1 surfaces

# Curve title: ""./data/MGFM-LS9-underwater_explosion-MUSCL-400-400-742-prims.dat" u 1:2:7"

# Contour 0, label:  2.4e+08
 3.4375 -4.17563  2.2e+08 
 3.45573 -4.1875  2.2e+08 
 3.4625 -4.19131  2.2e+08 
 3.4875 -4.20632  2.2e+08 
 3.49667 -4.2125  2.2e+08 
 3.5125 -4.2215  2.2e+08 
 3.53624 -4.2375  2.2e+08 
 3.5375 -4.23825  2.2e+08 
 3.5625 -4.25319  2.2e+08 
 3.5758 -4.2625  2.2e+08 
 3.5875 -4.2695  2.2e+08 
 3.6125 -4.2868  2.2e+08 
 3.61347 -4.2875  2.2e+08 
 3.6375 -4.30235  2.2e+08 
 3.65147 -4.3125  2.2e+08 
 3.6625 -4.31941  2.2e+08 
 3.68739 -4.3375  2.2e+08 
 3.6875 -4.33757  2.2e+08 
 3.7125 -4.35384  2.2e+08 
 3.7239 -4.3625  2.2e+08 
 3.7375 -4.37138  2.2e+08 
 3.7588 -4.3875  2.2e+08 
 3.7625 -4.39  2.2e+08 
 3.7875 -4.40775  2.2e+08 
 3.7935 -4.4125  2.2e+08 
 3.8125 -4.42543  2.2e+08 
 3.82773 -4.4375  2.2e+08 
 3.8375 -4.44435  2.2e+08 
 3.86042 -4.4625  2.2e+08 
 3.8625 -4.464  2.2e+08 
 3.8875 -4.48257  2.2e+08 
 3.89344 -4.4875  2.2e+08 
 3.9125 -4.50124  2.2e+08 
 3.92607 -4.5125  2.2e+08 
 3.9375 -4.52095  2.2e+08 
 3.95751 -4.5375  2.2e+08 
 3.9625 -4.54127  2.2e+08 
 3.9875 -4.56166  2.2e+08 
 3.98847 -4.5625  2.2e+08 
 4.0125 -4.58091  2.2e+08 
 4.02006 -4.5875  2.2e+08 
 4.0375 -4.601  2.2e+08 
 4.05062 -4.6125  2.2e+08 
 4.0625 -4.62195  2.2e+08 
 4.08022 -4.6375  2.2e+08 
 4.0875 -4.64339  2.2e+08 
 4.10924 -4.6625  2.2e+08 
 4.1125 -4.66519  2.2e+08 
 4.1375 -4.68717  2.2e+08 
